index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,1,1
55,2,1
56,2,0
57,2,0
58,2,0
59,2,0
60,2,0
61,2,0
62,2,0
63,2,0
64,6,4
65,6,0
66,6,0
67,6,0
68,120,114
69,127,7
70,127,0
71,127,0
72,127,0
73,127,0
74,127,0
75,127,0
76,127,0
77,127,0
78,173,46
79,173,0
80,173,0
81,173,0
82,173,0
83,3046,2873
84,14026,10980
85,14026,0
86,14026,0
87,14026,0
88,22130,8104
89,22130,0
90,22991,861
91,25318,2327
92,26573,1255
93,27655,1082
94,29160,1505
95,30152,992
96,31142,990
97,32544,1402
98,34132,1588
99,35935,1803
100,38039,2104
101,40937,2898
102,42991,2054
103,45815,2824
104,48221,2406
105,51370,3149
106,55350,3980
107,59297,3947
108,61685,2388
109,64957,3272
110,67384,2427
111,72597,5213
112,78424,5827
113,79479,1055
114,84970,5491
115,89672,4702
116,94122,4450
117,100459,6337
118,106794,6335
119,116683,9889
120,125960,9277
121,135430,9470
122,142587,7157
123,149911,7324
124,153833,3922
125,158593,4760
126,166647,8054
127,177604,10957
128,189476,11872
129,200892,11416
