Turkey,newCases
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
26,26
26,0
42,16
70,28
105,35
162,57
243,81
333,90
415,82
484,69
786,302
1042,256
1326,284
1582,256
1846,264
2142,296
2423,281
2965,542
3446,481
3957,511
4799,842
5674,875
7089,1415
8631,1542
10453,1822
11976,1523
13430,1454
14918,1488
16477,1559
18491,2014
21737,3246
25582,3845
29140,3558
33791,4651
38809,5018
44040,5231
48886,4846
53808,4922
58259,4451
63151,4892
68166,5015
73285,5119
78202,4917
82984,4782
86396,3412
89480,3084
92691,3211
95780,3089
98889,3109
101715,2826
104030,2315
106133,2103
108137,2004
109962,1825
111577,1615
112895,1318
113987,1092
114990,1003
116111,1121
117602,1491
118694,1092
120015,1321
121507,1492
122793,1286
124369,1576
125963,1594
126984,1021
