US,newCases
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,3
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
5,2
5,0
5,0
5,0
6,1
6,0
6,0
7,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
8,1
8,0
12,4
12,0
12,0
12,0
17,5
17,0
105,88
121,16
147,26
176,29
178,2
178,0
348,170
361,13
681,320
869,188
1072,203
2665,1593
5644,2979
7024,1380
8474,1450
9001,527
9707,706
14652,4945
17448,2796
19581,2133
21763,2182
23559,1796
25410,1851
28790,3380
31270,2480
32988,1718
43482,10494
47763,4281
52096,4333
54703,2607
58545,3842
64840,6295
70337,5497
72329,1992
75204,2875
77366,2162
80203,2837
99079,18876
100372,1293
106988,6616
111424,4436
115936,4512
120720,4784
153947,33227
164015,10068
175382,11367
180152,4770
187180,7028
189791,2611
189910,119
195036,5126
198993,3957
212534,13541
216169,3635
232733,16564
230287,0
243430,13143
246414,2984
250747,4333
268376,17629
272265,3889
283178,10913
289392,6214
294312,4920
298418,4106
350135,51717
361239,11104
366736,5497
379157,12421
384902,5745
391508,6606
399991,8483
406446,6455
416461,10015
